# time S I R
142.408687 338 133 530
142.442243 337 134 530
142.460186 337 133 531
142.798059 336 134 531
142.810629 336 133 532
142.917560 335 134 532
142.976687 335 133 533
143.026823 334 134 533
143.089298 334 133 534
143.113638 334 132 535
143.124507 334 131 536
143.185893 334 130 537
143.383063 333 131 537
143.593338 332 132 537
143.719331 331 133 537
143.759349 330 134 537
143.857278 330 133 538
144.086471 330 132 539
144.227302 330 131 540
144.428098 330 130 541
144.477839 330 129 542
144.519752 329 130 542
144.550906 329 129 543
144.572217 328 130 543
144.619741 328 129 544
144.763503 328 128 545
144.769237 328 127 546
144.824789 327 128 546
144.848354 327 127 547
144.853445 327 126 548
145.055781 327 125 549
145.147302 327 124 550
145.233483 327 123 551
145.262170 326 124 551
145.421770 326 123 552
145.507594 326 122 553
145.531224 325 123 553
145.669619 324 124 553
145.771402 323 125 553
145.792795 323 124 554
145.967745 322 125 554
146.013660 321 126 554
146.088873 320 127 554
146.158696 320 126 555
146.200542 320 125 556
146.315457 320 124 557
146.421925 320 123 558
146.440800 319 124 558
146.452054 318 125 558
146.511613 317 126 558
146.516623 316 127 558
146.710763 315 128 558
146.741493 315 127 559
146.757493 315 126 560
146.840832 315 125 561
147.191537 315 124 562
147.237487 315 123 563
147.348815 315 122 564
147.349858 315 121 565
147.383593 314 122 565
147.633763 313 123 565
147.645793 313 122 566
147.674156 313 121 567
147.882867 312 122 567
147.904306 312 121 568
148.029023 312 120 569
148.127025 312 119 570
148.135393 312 118 571
148.150748 311 119 571
148.358957 311 118 572
148.405447 310 119 572
148.506326 310 118 573
148.555135 310 117 574
148.603247 310 116 575
148.627201 309 117 575
148.823604 308 118 575
148.867594 308 117 576
148.976078 308 116 577
